SN,Owner,Release,EDI,EdiName,FG,Level,Posn,LoopID,SAbbrv,SegName,Req,Arr,Max,Rpt,Description,Remarks,URL
1,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,10.0,,ST,Transaction Set Header,Mandatory,->,1.0,,To indicate the start of a transaction set and to assign a control number,,https://www.stedi.com/edi/x12-004010/214
2,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,20.0,,B10,Beginning Segment for Transportation Carrier Shipment Status Message,Mandatory,->,1.0,,To transmit identifying numbers and other basic data relating to the transaction set,,https://www.stedi.com/edi/x12-004010/214
3,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,30.0,,L11,Business Instructions and Reference Number,Optional,->,300.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
4,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,35.0,,MAN,Marks and Numbers,Optional,->,9999.0,,To indicate identifying marks and numbers for shipping containers,,https://www.stedi.com/edi/x12-004010/214
5,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,40.0,,K1,Remarks,Optional,->,10.0,,To transmit information in a free-form format for comment or special instruction,,https://www.stedi.com/edi/x12-004010/214
6,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0100 (Entity Identification),------,Name and Address of key parties.,Optional,,,10,,,https://www.stedi.com/edi/x12-004010/214
7,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,50.0,0100 (Entity Identification),N1,Name,Mandatory,->,1.0,,"To identify a party by type of organization, name, and code",,https://www.stedi.com/edi/x12-004010/214
8,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,60.0,0100 (Entity Identification),N2,Additional Name Information,Optional,->,1.0,,To specify additional names or those longer than 35 characters in length,,https://www.stedi.com/edi/x12-004010/214
9,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,70.0,0100 (Entity Identification),N3,Address Information,Optional,->,2.0,,To specify the location of the named party,,https://www.stedi.com/edi/x12-004010/214
10,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,80.0,0100 (Entity Identification),N4,Geographic Location,Optional,->,1.0,,To specify the geographic place of the named party,,https://www.stedi.com/edi/x12-004010/214
11,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,90.0,0100 (Entity Identification),G61,Contact,Optional,->,1.0,,To identify a person or office to whom communications should be directed,,https://www.stedi.com/edi/x12-004010/214
12,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,100.0,0100 (Entity Identification),G62,Date/Time,Optional,->,1.0,,To specify pertinent dates and times,Status and appointment dates and times shall not be transmitted in the G62 segment.,https://www.stedi.com/edi/x12-004010/214
13,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,110.0,0100 (Entity Identification),L11,Business Instructions and Reference Number,Optional,->,10.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
14,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,120.0,,MS3,Interline Information,Optional,->,12.0,,To identify the interline carrier and relevant data,,https://www.stedi.com/edi/x12-004010/214
15,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0200 (Shipment Status),------,Shipment-level status and reference IDs.,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
16,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,130.0,0200 (Shipment Status),LX,Assigned Number,Mandatory,->,1.0,,To reference a line number in a transaction set,,https://www.stedi.com/edi/x12-004010/214
17,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0205 (Status Event),------,"Actual Status Code, Date, and Location.",Optional,,,10,,,https://www.stedi.com/edi/x12-004010/214
18,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,140.0,0205 (Status Event),AT7,Shipment Status Details,Mandatory,->,1.0,,"To specify the status of a shipment, the reason for that status, the date and time of the status and the date and time of any appointments scheduled.",,https://www.stedi.com/edi/x12-004010/214
19,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,143.0,0205 (Status Event),MS1,"Equipment, Shipment, or Real Property Location",Optional,->,1.0,,"To specify the location of a piece of equipment, a shipment, or real property in terms of city and state or longitude and latitude",,https://www.stedi.com/edi/x12-004010/214
20,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,146.0,0205 (Status Event),MS2,Equipment or Container Owner and Type,Optional,->,1.0,,"To specify the owner, the identification number assigned by that owner, and the type of equipment",,https://www.stedi.com/edi/x12-004010/214
21,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,150.0,0200 (Shipment Status),L11,Business Instructions and Reference Number,Optional,->,10.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
22,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,155.0,0200 (Shipment Status),MAN,Marks and Numbers,Optional,->,9999.0,,To indicate identifying marks and numbers for shipping containers,,https://www.stedi.com/edi/x12-004010/214
