Key,Value,source_file
001,Car Not in Umler,DE-647-4010-X12.json
002,Car Not in Correct Status for Billing,DE-647-4010-X12.json
003,Duplicate Billing,DE-647-4010-X12.json
004,Invalid Commodity Code,DE-647-4010-X12.json
005,Route Error,DE-647-4010-X12.json
006,Duplicate,DE-647-4010-X12.json
007,Missing Data,DE-647-4010-X12.json
008,Out of Range,DE-647-4010-X12.json
009,Invalid Date,DE-647-4010-X12.json
010,Total Out of Balance,DE-647-4010-X12.json
011,Not Matching,DE-647-4010-X12.json
012,Invalid Combination,DE-647-4010-X12.json
024,Other Unlisted Reason - The reason for the application error condition cannot be described using any other code on the standard code list,DE-647-4010-X12.json
026,Customer Identification Number is Invalid,DE-647-4010-X12.json
027,Customer Identification Number Does not Exist,DE-647-4010-X12.json
028,Customer Identification Number and Entity Name Do not Match,DE-647-4010-X12.json
029,Customer Identification Number Is Missing,DE-647-4010-X12.json
036,Invalid Serial Number,DE-647-4010-X12.json
500,Misrouted Freight Bill,DE-647-4010-X12.json
801,Missing or Invalid Transaction Handling Code,DE-647-4010-X12.json
802,Invalid Debit or Credit Flag Code,DE-647-4010-X12.json
803,Missing or Invalid Payment Method Code,DE-647-4010-X12.json
804,Missing or Invalid Payment Format,DE-647-4010-X12.json
805,Missing Depository Financial Institution (DFI) Qualifier,DE-647-4010-X12.json
806,Missing or Invalid Financial Institution Transit Routing Number,DE-647-4010-X12.json
807,Missing or Invalid Originating Account Number,DE-647-4010-X12.json
808,Missing or Invalid Receiving Account Number,DE-647-4010-X12.json
809,Missing Effective Entry Date,DE-647-4010-X12.json
810,Effective Payment Date is Past,DE-647-4010-X12.json
811,Payment Received Too Far in Advance,DE-647-4010-X12.json
812,Missing Transaction Reference or Trace Number,DE-647-4010-X12.json
813,Missing or Invalid Payee Name and Address,DE-647-4010-X12.json
814,Received After Cutoff Date or Time,DE-647-4010-X12.json
815,Duplicate Batch,DE-647-4010-X12.json
817,Duplicate Trace Number,DE-647-4010-X12.json
818,Missing Control Totals,DE-647-4010-X12.json
819,Control Totals Amount Error,DE-647-4010-X12.json
820,Control Totals Count Error,DE-647-4010-X12.json
821,Control Totals Out of Sequence,DE-647-4010-X12.json
822,Transaction Set Payment Amount Error,DE-647-4010-X12.json
823,Payment Pending Credit Approval,DE-647-4010-X12.json
824,Payment Passed Credit Approval,DE-647-4010-X12.json
825,Payment Amount Exceeds Approved Credit Limit; Refused,DE-647-4010-X12.json
826,Non-Sufficient Funds in Account; Refused,DE-647-4010-X12.json
827,Account Frozen,DE-647-4010-X12.json
828,Account Transferred,DE-647-4010-X12.json
829,Payee Deceased,DE-647-4010-X12.json
830,Refused by Payee,DE-647-4010-X12.json
831,Missing or Invalid Cancellation Type Code,DE-647-4010-X12.json
832,Invalid Request or Cancellation Flag,DE-647-4010-X12.json
833,Invalid Cancellation Request (Item Not in Financial Warehouse to Cancel),DE-647-4010-X12.json
834,Missing or Invalid Effective Payment Date,DE-647-4010-X12.json
847,Closed/Non-Existent Account Number,DE-647-4010-X12.json
848,Incorrect Data,DE-647-4010-X12.json
849,Corrected Data,DE-647-4010-X12.json
A,Missing or Invalid Report Type Code,DE-647-4010-X12.json
ASA,Associated Authorization - Other vehicles contained on a multilevel railcar have different shipper authorized destinations than this vehicle,DE-647-4010-X12.json
ASV,Associated Vehicle Identification Number(s) Unknown - Other vehicles contained on a multilevel railcar are unknown to the shipper,DE-647-4010-X12.json
AVE,Associated Vehicle Identification Number(s) Invalid - Vehicle Identification Numbers (DE539) for other vehicles contained on a multilevel railcar fail check digit verification,DE-647-4010-X12.json
B,Missing or Invalid Physical Inventory Code,DE-647-4010-X12.json
C,Missing or Invalid Consignee,DE-647-4010-X12.json
CAL,Currency Calculation - The amount calculated using the specified exchange rate exceeds the maximum length of the application data field,DE-647-4010-X12.json
CHK,Check Being Returned,DE-647-4010-X12.json
COV,Conflicting Authorizations - Commodities are moving on same Freight Bill which have conflicting contract rates or terms,DE-647-4010-X12.json
CUR,Invalid Currency Code - Currency Code (DE100) reported is invalid,DE-647-4010-X12.json
D,Missing or Invalid Fund Code,DE-647-4010-X12.json
DBL,Duplicate Bill of Lading Number - Carrier has reused a shippers authorization number assigned to another shipment,DE-647-4010-X12.json
DDT,Departure Date Invalid - The move/service date precedes the authorized date,DE-647-4010-X12.json
DRC,Duplicate Railcar Departure - The railcar reported has a conflicting previous departure on the same date,DE-647-4010-X12.json
DTE,Incorrect Date - The reported date is incorrect (e.g. premature date for transaction or non-existent date such as February 30),DE-647-4010-X12.json
DUP,Duplicate Transaction - The identical transaction has been transmitted more than once within the same input file,DE-647-4010-X12.json
E,Missing or Invalid Material Condition Code,DE-647-4010-X12.json
F,Missing or Invalid Management Code,DE-647-4010-X12.json
G,Missing or Invalid Processing (Count) Date Code,DE-647-4010-X12.json
H,Missing or Invalid Unit of Measure Code,DE-647-4010-X12.json
HUG,Quantity of Handling Units Shipped Greater Than the Quantity Specified,DE-647-4010-X12.json
HUL,Quantity of Handling Units Shipped Less Than the Quantity Specified,DE-647-4010-X12.json
I,Missing or Invalid Source of Supply Code,DE-647-4010-X12.json
ICA,Invalid Claim Amount - Claim Total does not equal total of claim Line Item Totals,DE-647-4010-X12.json
ICG,Invalid Charge Allowance Qualifier - The Charge Allowance Qualifier (DE538) reported is invalid,DE-647-4010-X12.json
