Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
Q7-01,33,Lading Exception Code,Identifier (ID),Mandatory,1.0,1,-,Code indicating the condition of the shipment,,6.0,https://www.stedi.com/edi/x12-004010/segment/Q7
Q7-02,211,Packaging Form Code,Identifier (ID),Optional,3.0,3,-,Code for packaging form of the lading quantity,"C0203: If Q7-02 is present, then Q7-03 is required",134.0,https://www.stedi.com/edi/x12-004010/segment/Q7
Q7-03,80,Lading Quantity,Numeric (N0),Conditional,1.0,7,-,Number of units (pieces) of the lading commodity,,,https://www.stedi.com/edi/x12-004010/segment/Q7
G69-01,369,Free-form Description,String (AN),Mandatory,1.0,45,-,Free-form descriptive text,,,https://www.stedi.com/edi/x12-004010/segment/G69
AT7-01,1650,Shipment Status Code,Identifier (ID),Conditional,2.0,2,-,Code indicating the status of a shipment,"E0103: Only one of AT7-01 or AT7-03 may be present
P0102: If either AT7-01 or AT7-02 is present, then the other is required
If AT701 is present, AT705 is the date the status occurred. If AT703 is present, AT705 is a date related to an appointment.
If AT701 is present, AT706 is the time of the status. If AT703 is present, AT706 is the time of the appointment.",42.0,https://www.stedi.com/edi/x12-004010/segment/AT7
AT7-02,1651,Shipment Status or Appointment Reason Code,Identifier (ID),Conditional,2.0,2,-,Code indicating the reason a shipment status or appointment reason was transmitted,,86.0,https://www.stedi.com/edi/x12-004010/segment/AT7
AT7-03,1652,Shipment Appointment Status Code,Identifier (ID),Conditional,2.0,2,-,Code indicating the status of an appointment to pick-up or deliver a shipment,"P0304: If either AT7-03 or AT7-04 is present, then the other is required",9.0,https://www.stedi.com/edi/x12-004010/segment/AT7
AT7-04,1651,Shipment Status or Appointment Reason Code,Identifier (ID),Conditional,2.0,2,-,Code indicating the reason a shipment status or appointment reason was transmitted,,86.0,https://www.stedi.com/edi/x12-004010/segment/AT7
AT7-05,373,Date,Date (DT),Conditional,8.0,8,-,Date expressed as CCYYMMDD,,,https://www.stedi.com/edi/x12-004010/segment/AT7
AT7-06,337,Time,Time (TM),Conditional,4.0,8,-,"Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)","C0605: If AT7-06 is present, then AT7-05 is required",,https://www.stedi.com/edi/x12-004010/segment/AT7
AT7-07,623,Time Code,Identifier (ID),Optional,2.0,2,-,"Code identifying the time. In accordance with International Standards Organization standard 8601, time can be specified by a + or - and an indication in hours in relation to Universal Time Coordinate (UTC) time; since + is a restricted character, + and - are substituted by P and M in the codes that follow","C0706: If AT7-07 is present, then AT7-06 is required
If AT707 is not present then AT706 represents local time of the status.",51.0,https://www.stedi.com/edi/x12-004010/segment/AT7
B4-01,152,Special Handling Code,Identifier (ID),Optional,2.0,3,-,Code specifying special transportation handling instructions,,526.0,https://www.stedi.com/edi/x12-004010/segment/B4
B4-02,71,Inquiry Request Number,Numeric (N0),Optional,1.0,3,-,Identifying number assigned by inquirer,,,https://www.stedi.com/edi/x12-004010/segment/B4
B4-03,157,Shipment Status Code,Identifier (ID),Optional,1.0,2,-,Code indicating the status of a shipment,,175.0,https://www.stedi.com/edi/x12-004010/segment/B4
B4-04,373,Date,Date (DT),Optional,8.0,8,-,Date expressed as CCYYMMDD,B404 is the date of last reported status of cargo.,,https://www.stedi.com/edi/x12-004010/segment/B4
B4-05,161,Status Time,Time (TM),Optional,4.0,4,-,Time (HHMM) of last reported status of cargo,,,https://www.stedi.com/edi/x12-004010/segment/B4
B4-06,159,Status Location,String (AN),Optional,3.0,5,-,"Air shipment: Airport code for last reported status for a shipment; (Note: If the shipment is in-flight, the status location is the origin airport for this flight) Ground transportation: Code of carrier's terminal",,,https://www.stedi.com/edi/x12-004010/segment/B4
B4-07,206,Equipment Initial,String (AN),Conditional,1.0,4,-,Prefix or alphabetic part of an equipment unit's identifying number,"P0708: If either B4-07 or B4-08 is present, then the other is required",,https://www.stedi.com/edi/x12-004010/segment/B4
B4-08,207,Equipment Number,String (AN),Conditional,1.0,10,-,Sequencing or serial part of an equipment unit's identifying number (pure numeric form for equipment number is preferred),,,https://www.stedi.com/edi/x12-004010/segment/B4
B4-09,578,Equipment Status Code,Identifier (ID),Optional,1.0,2,-,Code indicating status of equipment,,14.0,https://www.stedi.com/edi/x12-004010/segment/B4
B4-10,24,Equipment Type,Identifier (ID),Optional,4.0,4,-,Code identifying equipment type,,,https://www.stedi.com/edi/x12-004010/segment/B4
B4-11,310,Location Identifier,String (AN),Conditional,1.0,30,-,Code which identifies a specific location,"P1112: If either B4-11 or B4-12 is present, then the other is required",,https://www.stedi.com/edi/x12-004010/segment/B4
B4-12,309,Location Qualifier,Identifier (ID),Conditional,1.0,2,-,Code identifying type of location,,172.0,https://www.stedi.com/edi/x12-004010/segment/B4
B4-13,761,Equipment Number Check Digit,Numeric (N0),Optional,1.0,1,-,Number which designates the check digit applied to a piece of equipment,,,https://www.stedi.com/edi/x12-004010/segment/B4
