Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
EFI-01,786,Security Level Code,Identifier (ID),Mandatory,2,2,-,Code indicating the level of confidentiality assigned by the sender to the information following,,17,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-02,933,Free-Form Message Text,String (AN),Optional,1,264,-,Free-form message text,,,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-03,797,Security Technique Code,Identifier (ID),Optional,2,2,-,Code indicating that this element will be used to tell an EDI translator program which security technique to use,,5,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-04,799,Version Identifier,String (AN),Conditional,1,30,-,"Revision level of a particular format, program, technique or algorithm",,,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-05,802,Program Identifier,String (AN),Optional,1,30,-,Identifies the name of the software program from which the technical data originates,"C0504: If EFI-05 is present, then EFI-04 is required",,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-06,799,Version Identifier,String (AN),Conditional,1,30,-,"Revision level of a particular format, program, technique or algorithm",,,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-07,801,Interchange Format,String (AN),Optional,1,30,-,Industry or proprietary standard used to identify the format of the data,"C0706: If EFI-07 is present, then EFI-06 is required",,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-08,799,Version Identifier,String (AN),Conditional,1,30,-,"Revision level of a particular format, program, technique or algorithm",,,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-09,800,Compression Technique,String (AN),Optional,1,30,-,Identifies the digital data compression means and the type,"C0908: If EFI-09 is present, then EFI-08 is required",,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-10,789,Drawing Sheet Size Code,String (AN),Optional,2,2,-,Code indicating the drawing size and orientation of a technical drawing as specified and described in the current version of standards ANSI Y14.1 and ISO 5457 (E); see the listed ANSI and ISO standards for the maximum lengths for rolled sheets *,,17,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-11,803,File Name,String (AN),Optional,1,64,-,"Name assigned or declared for a file or used by a program to identify a file; exact format of the name depends on the computer operating system being used; name also may be known as the file's ""data set name""",,,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-12,804,Block Type,String (AN),Optional,1,4,-,"Organization of a data block such as fixed length, variable length, spanned, etc. Synonym for ""data format""",,,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-13,787,Record Length,Numeric (N),Optional,1,15,-,"Quantity of characters or bytes in a record. Synonyms are ""logical record length"" and ""record size""",,,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-14,788,Block Length,Numeric (N),Optional,1,5,-,"Quantity of data elements in a block, usually specified in units such as records, words or characters; synonym for ""block size""",,,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-15,799,Version Identifier,String (AN),Conditional,1,30,-,"Revision level of a particular format, program, technique or algorithm","P1516: If either EFI-15 or EFI-16 is present, then the other is required",,https://www.stedi.com/edi/x12-004010/segment/EFI
EFI-16,1570,Filter ID Code,Identifier (ID),Conditional,3,3,-,Code specifying the type of filter used to convert data code values,,6,https://www.stedi.com/edi/x12-004010/segment/EFI
