Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
ISA-01,I01,Authorization Information Qualifier,Identifier (ID),Mandatory,2,2,-,Code to identify the type of information in the Authorization Information,,7,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-02,I02,Authorization Information,String (AN),Mandatory,10,10,-,Information used for additional identification or authorization of the interchange sender or the data in the interchange; the type of information is set by the Authorization Information Qualifier (I01),,,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-03,I03,Security Information Qualifier,Identifier (ID),Mandatory,2,2,-,Code to identify the type of information in the Security Information,,2,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-04,I04,Security Information,String (AN),Mandatory,10,10,-,This is used for identifying the security information about the interchange sender or the data in the interchange; the type of information is set by the Security Information Qualifier (I03),,,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-05,I05,Interchange ID Qualifier,Identifier (ID),Mandatory,2,2,-,Qualifier to designate the system/method of code structure used to designate the sender or receiver ID element being qualified,,38,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-06,I06,Interchange Sender ID,String (AN),Mandatory,15,15,-,Identification code published by the sender for other parties to use as the receiver ID to route data to them; the sender always codes this value in the sender ID element,,,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-07,I05,Interchange ID Qualifier,Identifier (ID),Mandatory,2,2,-,Qualifier to designate the system/method of code structure used to designate the sender or receiver ID element being qualified,,38,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-08,I07,Interchange Receiver ID,String (AN),Mandatory,15,15,-,"Identification code published by the receiver of the data; When sending, it is used by the sender as their sending ID, thus other parties sending to them will use this as a receiving ID to route data to them",,,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-09,I08,Interchange Date,Date (DT),Mandatory,6,6,-,Date of the interchange,,,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-10,I09,Interchange Time,Time (TM),Mandatory,4,4,-,Time of the interchange,,,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-11,I10,Interchange Control Standards Identifier,Identifier (ID),Mandatory,1,1,-,Code to identify the agency responsible for the control standard used by the message that is enclosed by the interchange header and trailer,,1,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-12,I11,Interchange Control Version Number,Identifier (ID),Mandatory,5,5,-,This version number covers the interchange control segments,,14,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-13,I12,Interchange Control Number,Numeric (N0),Mandatory,9,9,-,A control number assigned by the interchange sender,,,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-14,I13,Acknowledgment Requested,Identifier (ID),Mandatory,1,1,-,Code sent by the sender to request an interchange acknowledgment (TA1),,2,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-15,I14,Usage Indicator,Identifier (ID),Mandatory,1,1,-,"Code to indicate whether data enclosed by this interchange envelope is test, production or information",,3,https://www.stedi.com/edi/x12-004010/segment/ISA
ISA-16,I15,Component Element Separator,,Mandatory,1,1,-,Type is not applicable; the component element separator is a delimiter and not a data element; this field provides the delimiter used to separate component data elements within a composite data structure; this value must be different than the data element separator and the segment terminator,,,https://www.stedi.com/edi/x12-004010/segment/ISA
