Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
LIN-01,350,Assigned Identification,String (AN),Optional,1,20,-,Alphanumeric characters assigned for differentiation within a transaction set,LIN01 is the line item identification,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-02,235,Product/Service ID Qualifier,Identifier (ID),Mandatory,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"LIN02 through LIN31 provide for fifteen different product/service IDs for each item. For example: Case, Color, Drawing No., U.P.C. No., ISBN No., Model No., or SKU.",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-03,234,Product/Service ID,String (AN),Mandatory,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-04,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P0405: If either LIN-04 or LIN-05 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-05,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-06,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P0607: If either LIN-06 or LIN-07 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-07,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-08,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P0809: If either LIN-08 or LIN-09 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-09,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-10,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1011: If either LIN-10 or LIN-11 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-11,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-12,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1213: If either LIN-12 or LIN-13 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-13,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-14,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1415: If either LIN-14 or LIN-15 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-15,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-16,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1617: If either LIN-16 or LIN-17 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-17,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-18,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1819: If either LIN-18 or LIN-19 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-19,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-20,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2021: If either LIN-20 or LIN-21 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-21,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-22,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2223: If either LIN-22 or LIN-23 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-23,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-24,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2425: If either LIN-24 or LIN-25 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-25,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-26,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2627: If either LIN-26 or LIN-27 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-27,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-28,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2829: If either LIN-28 or LIN-29 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-29,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-30,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P3031: If either LIN-30 or LIN-31 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-31,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
