Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
MEA-01,737,Measurement Reference ID Code,Identifier (ID),Optional,2,2,-,Code identifying the broad category to which a measurement applies,,152,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-02,738,Measurement Qualifier,Identifier (ID),Optional,1,3,-,Code identifying a specific product or process characteristic to which a measurement applies,,920,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-03,739,Measurement Value,Decimal number (R),Conditional,1,20,-,The value of the measurement,"R03050608: At least one of MEA-03, MEA-05, MEA-06 or MEA-08 is required",,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-04,C001,Composite Unit of Measure,Composite (composite),Conditional,,,,,,,https://www.stedi.com/edi/x12-004010/segment/MEA
01,355,Unit or Basis for Measurement Code,Identifier (ID),Mandatory,2,2,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",,794,https://www.stedi.com/edi/x12-004010/segment/MEA
02,1018,Exponent,Decimal number (R),Optional,1,15,-,Power to which a unit is raised,"If C001-02 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
03,649,Multiplier,Decimal number (R),Optional,1,10,-,Value to be used as a multiplier to obtain a new value,"If C001-03 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
04,355,Unit or Basis for Measurement Code,Identifier (ID),Optional,2,2,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",,794,https://www.stedi.com/edi/x12-004010/segment/MEA
05,1018,Exponent,Decimal number (R),Optional,1,15,-,Power to which a unit is raised,"If C001-05 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
06,649,Multiplier,Decimal number (R),Optional,1,10,-,Value to be used as a multiplier to obtain a new value,"If C001-06 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
07,355,Unit or Basis for Measurement Code,Identifier (ID),Optional,2,2,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",,794,https://www.stedi.com/edi/x12-004010/segment/MEA
08,1018,Exponent,Decimal number (R),Optional,1,15,-,Power to which a unit is raised,"If C001-08 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
09,649,Multiplier,Decimal number (R),Optional,1,10,-,Value to be used as a multiplier to obtain a new value,"If C001-09 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
10,355,Unit or Basis for Measurement Code,Identifier (ID),Optional,2,2,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",,794,https://www.stedi.com/edi/x12-004010/segment/MEA
11,1018,Exponent,Decimal number (R),Optional,1,15,-,Power to which a unit is raised,"If C001-11 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
12,649,Multiplier,Decimal number (R),Optional,1,10,-,Value to be used as a multiplier to obtain a new value,"If C001-12 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
13,355,Unit or Basis for Measurement Code,Identifier (ID),Optional,2,2,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",,794,https://www.stedi.com/edi/x12-004010/segment/MEA
14,1018,Exponent,Decimal number (R),Optional,1,15,-,Power to which a unit is raised,"If C001-14 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
15,649,Multiplier,Decimal number (R),Optional,1,10,-,Value to be used as a multiplier to obtain a new value,"If C001-15 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-05,740,Range Minimum,Decimal number (R),Conditional,1,20,-,The value specifying the minimum of the measurement range,"C0504: If MEA-05 is present, then MEA-04 is required
When citing dimensional tolerances, any measurement requiring a sign (+ or -), or any measurement where a positive (+) value cannot be assumed, use MEA05 as the negative (-) value and MEA06 as the positive (+) value.",,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-06,741,Range Maximum,Decimal number (R),Conditional,1,20,-,The value specifying the maximum of the measurement range,"C0604: If MEA-06 is present, then MEA-04 is required",,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-07,935,Measurement Significance Code,Identifier (ID),Optional,2,2,-,"Code used to benchmark, qualify or further define a measurement value","L07030506: If MEA-07 is present, then at least one of MEA-03, MEA-05 or MEA-06 is required",96,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-08,936,Measurement Attribute Code,Identifier (ID),Conditional,2,2,-,Code used to express an attribute response when a numeric measurement value cannot be determined,E0803: Only one of MEA-08 or MEA-03 may be present,45,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-09,752,Surface/Layer/Position Code,Identifier (ID),Optional,2,2,-,"Code indicating the product surface, layer or position that is being described",,101,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-10,1373,Measurement Method or Device,Identifier (ID),Optional,2,4,-,The method or device used to record the measurement,,12,https://www.stedi.com/edi/x12-004010/segment/MEA
