Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
N9-01,128,Reference Identification Qualifier,Identifier (ID),Mandatory,2,3,-,Code qualifying the Reference Identification,,1503,https://www.stedi.com/edi/x12-004010/segment/N9
N9-02,127,Reference Identification,String (AN),Conditional,1,30,-,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R0203: At least one of N9-02 or N9-03 is required,,https://www.stedi.com/edi/x12-004010/segment/N9
N9-03,369,Free-form Description,String (AN),Conditional,1,45,-,Free-form descriptive text,,,https://www.stedi.com/edi/x12-004010/segment/N9
N9-04,373,Date,Date (DT),Optional,8,8,-,Date expressed as CCYYMMDD,,,https://www.stedi.com/edi/x12-004010/segment/N9
N9-05,337,Time,Time (TM),Conditional,4,8,-,"Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)",,,https://www.stedi.com/edi/x12-004010/segment/N9
N9-06,623,Time Code,Identifier (ID),Optional,2,2,-,"Code identifying the time. In accordance with International Standards Organization standard 8601, time can be specified by a + or - and an indication in hours in relation to Universal Time Coordinate (UTC) time; since + is a restricted character, + and - are substituted by P and M in the codes that follow","C0605: If N9-06 is present, then N9-05 is required
N906 reflects the time zone which the time reflects.",51,https://www.stedi.com/edi/x12-004010/segment/N9
N9-07,C040,Reference Identifier,Composite (composite),Optional,,,,,,,https://www.stedi.com/edi/x12-004010/segment/N9
01,128,Reference Identification Qualifier,Identifier (ID),Mandatory,2,3,-,Code qualifying the Reference Identification,,1503,https://www.stedi.com/edi/x12-004010/segment/N9
02,127,Reference Identification,String (AN),Mandatory,1,30,-,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,,,https://www.stedi.com/edi/x12-004010/segment/N9
03,128,Reference Identification Qualifier,Identifier (ID),Conditional,2,3,-,Code qualifying the Reference Identification,"P0304: If either C040-03 or C040-04 is present, then the other is required",1503,https://www.stedi.com/edi/x12-004010/segment/N9
04,127,Reference Identification,String (AN),Conditional,1,30,-,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,,,https://www.stedi.com/edi/x12-004010/segment/N9
05,128,Reference Identification Qualifier,Identifier (ID),Conditional,2,3,-,Code qualifying the Reference Identification,"P0506: If either C040-05 or C040-06 is present, then the other is required",1503,https://www.stedi.com/edi/x12-004010/segment/N9
06,127,Reference Identification,String (AN),Conditional,1,30,-,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,,,https://www.stedi.com/edi/x12-004010/segment/N9
