Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
PO1-01,350,Assigned Identification,String (AN),Optional,1,20,-,Alphanumeric characters assigned for differentiation within a transaction set,PO101 is the line item identification.,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-02,330,Quantity Ordered,Decimal number (R),Conditional,1,15,-,Quantity ordered,,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-03,355,Unit or Basis for Measurement Code,Identifier (ID),Optional,2,2,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken","C0302: If PO1-03 is present, then PO1-02 is required",794,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-04,212,Unit Price,Decimal number (R),Conditional,1,17,-,"Price per unit of product, service, commodity, etc.",,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-05,639,Basis of Unit Price Code,Identifier (ID),Optional,2,2,-,Code identifying the type of unit price for an item,"C0504: If PO1-05 is present, then PO1-04 is required",91,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-06,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P0607: If either PO1-06 or PO1-07 is present, then the other is required
PO106 through PO125 provide for ten different product/service IDs per each item. For example: Case, Color, Drawing No., U.P.C. No., ISBN No., Model No., or SKU.",477,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-07,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-08,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P0809: If either PO1-08 or PO1-09 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-09,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-10,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1011: If either PO1-10 or PO1-11 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-11,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-12,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1213: If either PO1-12 or PO1-13 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-13,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-14,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1415: If either PO1-14 or PO1-15 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-15,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-16,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1617: If either PO1-16 or PO1-17 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-17,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-18,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1819: If either PO1-18 or PO1-19 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-19,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-20,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2021: If either PO1-20 or PO1-21 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-21,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-22,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2223: If either PO1-22 or PO1-23 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-23,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-24,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2425: If either PO1-24 or PO1-25 is present, then the other is required",477,https://www.stedi.com/edi/x12-004010/segment/PO1
PO1-25,234,Product/Service ID,String (AN),Conditional,1,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/PO1
